opeid6,name,VA_earnings,VA_condearnings,VA_emp,VA_gainfulemp
41260,Paul Mitchell the School-Cleveland,29.387465,-4212.6738,.10904693,.067653432
41264,Champion Institute of Cosmetology,-941.12793,-5521.7646,.11516175,.01665221
41265,Coast Career Institute,4091.521,-993.0849,.15096429,.15692431
41268,Academy of Somatic Healing Arts,5445.2441,533.13306,.15850393,.16524252
41269,Academy of Career Training,826.60669,-4137.4067,.13718255,.099448822
41272,Victoria's Academy of Cosmetology,680.74939,-4065.8228,.12635568,.090072498
41273,Columbia College,3281.251,-2097.5308,.15270078,.15641941
41275,CDE Career Institute,2251.4495,-2358.1729,.13773511,.14165406
41278,Healthy Hair Academy,138.71255,-4328.7788,.11332584,.038374852
41280,Millennium Training Institute,2567.6899,-1661.6973,.14084187,.12498334
41288,Branford Academy of Hair and Cosmetology,-479.41824,-4973.4653,.10867433,.030149626
41289,Central Mass School of Massage and Therapy Inc,4916.5903,-75.331093,.16032022,.14970981
41293,International B Naturale Beauty School,-895.11438,-5778.2422,.1161675,.0043603643
41297,International Polytechnic Institute,2355.2395,-1721.222,.1190839,.11016281
41298,MediaTech Institute-Dallas,2216.1707,-2386.3621,.11320055,.13052246
41299,Florida School of Massage,4782.3359,-123.55379,.15010987,.15057003
41301,Louisiana Delta Community College,8397.3232,4424.4409,.16333742,.21445781
41304,Shear Excellence Hair Academy,-953.11749,-5553.1172,.1073279,.024622204
41306,Healing Arts Center,4732.2256,-268.56308,.15000929,.15284866
41308,BJ's Beauty & Barber College,246.54062,-4036.7568,.10985251,.04056935
41309,Tricoci University of Beauty Culture-Indianapolis,-1620.0872,-6341.6064,.11062028,.034915235
41312,Total Image Beauty Academy,596.75323,-3954.1467,.11786743,.053797945
41313,Corinth Academy of Cosmetology,-296.65091,-4794.3706,.10619666,.042518798
41317,Southwest University at El Paso,5175.4199,397.5433,.1659178,.18124619
41319,FastTrain of Miami,2984.8269,-1264.9855,.13417083,.14964339
41320,FastTrain of Ft Lauderdale,2845.627,-1377.3123,.13340573,.14714316
41321,FastTrain of Tampa,2845.627,-1377.3123,.13340573,.14714316
41322,FastTrain of Jacksonville,3124.0269,-1152.6587,.13493593,.15214363
41323,Institute of Medical Education,4666.311,-198.63567,.14443856,.16523579
41324,Academy of Esthetics and Cosmetology,488.07626,-4205.1035,.12203087,.05620629
41327,Healthcare Career College,4921.061,87.530045,.15611102,.16250417
41328,Inland Massage Institute,5740.8115,837.90875,.15385073,.17837663
41330,BioHealth College,5430.1235,1047.2078,.1489137,.18926521
41333,Trend Setters School of Cosmetology,-1315.5288,-5699.0244,.11027145,.03976674
41336,Cutter's Edge School of Cosmetology,-1046.394,-5750.6694,.11460479,.014167365
41337,New York Medical Career Training Center,5013.3574,232.28949,.15651692,.16546288
41339,Futura Career Institute,877.87665,-3338.9885,.11746957,.048028816
41340,John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,-1578.5486,-6167.4897,.10432806,.040244579
41345,San Diego College,3999.8708,-468.66516,.14072865,.14343296
41347,International Professional School of Bodywork,6701.1079,1576.8033,.16803089,.21003743
41349,Orange Park International School of Beauty,-1283.9734,-5999.7983,.11485323,.038838957
41350,Cozmo Beauty School,-64.749519,-4650.0869,.11024832,.043411963
41352,Northwest Aviation College,4145.9209,-1353.0267,.15468584,.12415577
41356,Cannon Institute of Higher Learning,3819.2813,-939.51538,.15007471,.12827797
41363,Focus-Hope Information Technologies Center,2126.1072,-2711.6404,.11611762,.081537731
41364,American Institute of Medical Sciences & Education,5286.2896,55.71722,.15591145,.17718145
41365,PCCenter,4266.4082,-226.95041,.1351908,.14907968
41369,University of Aesthetics & Cosmetology,-558.30457,-4963.6514,.11878853,.040338308
41370,The University of Aesthetics & Cosmetology,-1009.4818,-5451.6548,.11576948,.036905337
41371,Kimberly's Beauty School,-912.79877,-5651.2275,.11564891,.010589696
41372,Borner's Barber College,76.166641,-4257.9575,.11112569,.04165386
41374,Mississippi School of Therapeutic Massage,4750.7549,-864.18719,.17223299,.13551632
41375,Tricoci University of Beauty Culture-Chicago NW,-1588.7136,-6160.1167,.10645746,.03907932
41377,Ann Marie's World of Beauty School,64.301918,-4554.4058,.11662743,.038419615
41378,Aveda Institute-Columbus,-1230.038,-5545.7925,.10593805,.0426597
41380,Institute of Therapeutic Massage,4605.3306,-300.09985,.15776955,.17721325
41382,The Salon Professional Academy-Appleton,535.78973,-3851.2939,.1184156,.0422474
41383,International Beauty Academy,-184.16859,-5148.5576,.12749723,.035347633
41384,The Salon Professional Academy,-1077.5631,-5623.4404,.10976551,.018150983
41387,Paul Mitchell the School-Pasadena,-1195.2706,-5757.7002,.10579529,.048120134
41388,Modern Techniques Beauty College,-971.66125,-6259.2676,.12550467,-.0019197443
41390,Midwestern Career College,4163.7598,-432.49347,.14463179,.17377117
41392,Universal Barber College,76.166641,-4257.9575,.11112569,.04165386
41393,National Beauty College,10.88498,-4446.7148,.11456899,.037351709
41394,The Hair Academy,1686.1793,-2529.6304,.11432497,.068761103
41396,Regal Beauty School,-935.77478,-5748.75,.12468514,-.00030066509
41397,Frederick School of Cosmetology,-284.16055,-4724.1616,.11782525,.030094931
41401,Cisoria Academy of Cosmetology,1516.6318,-3081.6392,.12456179,.046914689
41402,Mississippi Institute of Aesthetics Nails & Cosmetology,-1535.1726,-5922.5234,.11297039,.032304633
41406,Modern Institute of Technology,4052.0042,-524.6261,.15707122,.11688592
41407,Aveda Institute-Chapel Hill,-1579.6707,-5932.4326,.10470415,.035631113
41408,North Florida Academy,-975.64264,-5562.189,.10805843,.018005544
41409,International Cosmetology Academy,-1526.4467,-5944.6719,.10454702,.036465205
41411,French Academy of Cosmetology,-1144.8635,-5690.3999,.11330561,.015463671
41413,San Francisco Institute of Esthetics & Cosmetology Inc,-941.12793,-5521.7646,.11516175,.01665221
41414,Laurus College,2288.626,-2259.7571,.1255936,.15251701
41417,Healing Hands School of Holistic Health,4385.208,-587.58173,.14755112,.15456961
41421,Skin Institute,-307.28906,-5432.9229,.12827337,.020829786
41430,Vocational Institute of Florida,5263.8672,301.10471,.16310015,.15434846
41431,Professional Hands Institute,5220.9624,404.83737,.15990107,.19107749
